,model,title,subtitle,link,price,seller,year,body,mileage,engine,transmission,fuel,BHP,owners,distance
3790,Volvo XC40,Volvo XC40 - 2023,"XC40 Recharge Plus, Single Motor, Electric 5dr",https://www.autotrader.co.uk/car-details/202305107198990,43950,Collect from Leeds (2 miles),2022,SUV,4117.0,,Automatic,Electric,,,2
3794,Volvo XC40,Volvo XC40 - 2022,"XC40 Recharge R-Design Pro, T5 plug-in hybrid 1.5 5dr",https://www.autotrader.co.uk/car-details/202305117260496,40500,Collect from Leeds (2 miles),2022,SUV,10700.0,1.5L,Automatic,Petrol Plug-in Hybrid,177.0,,2
3742,Volvo XC40,Volvo XC40,"Plus, B3 mild hybrid, Petrol, Dark 2.0 5dr",https://www.autotrader.co.uk/car-details/202305036956936,33500,leeds (2 miles),2022,SUV,3077.0,2.0L,Automatic,Petrol Hybrid,161.0,,2
3526,Volvo XC40,Volvo XC40 - 2022,"XC40 Recharge Inscription Pro, T5 plug-in hybrid 1.5 5dr",https://www.autotrader.co.uk/car-details/202304256655685,37950,Collect from Leeds (2 miles),2021,SUV,13144.0,1.5L,Automatic,Petrol Plug-in Hybrid,177.0,,2
3452,Volvo XC40,Volvo XC40 - 2022,"XC40 Recharge R-Design, T4 plug-in hybrid 1.5 5dr",https://www.autotrader.co.uk/car-details/202304196435043,35999,Collect from Leeds (2 miles),2021,SUV,11175.0,1.5L,Automatic,Petrol Plug-in Hybrid,,,2
3460,Volvo XC40,Volvo XC40 - 2021,"XC40 Recharge R-Design Pro, T5 plug-in hybrid 1.5 5dr",https://www.autotrader.co.uk/car-details/202304176371693,36500,Collect from Leeds (2 miles),2021,SUV,16827.0,1.5L,Automatic,Petrol Plug-in Hybrid,177.0,,2
3064,Volvo XC40,Volvo XC40,"T4 R-Design Auto (Lane depart alert,Nav,Cruise) 2.0 5dr",https://www.autotrader.co.uk/car-details/202304266679751,30490,leeds (2 miles),2020,SUV,25083.0,2.0L,Automatic,Petrol,188.0,,2
3049,Volvo XC40,Volvo XC40,"T5 Recharge Inscription (Winter Plus Pack,Blond leather,Lane depart alert) 1.5 5dr",https://www.autotrader.co.uk/car-details/202305127283934,30695,leeds (2 miles),2020,SUV,47137.0,1.5L,Automatic,Petrol Plug-in Hybrid,177.0,,2
3071,Volvo XC40,Volvo Xc40,1.5 T5 Recharge PHEV R DESIGN Pro 5dr Auto,https://www.autotrader.co.uk/car-details/202305167440818,35500,4.7 (875 reviews) leeds (2 miles),2020,SUV,21339.0,1.5L,Automatic,Petrol Plug-in Hybrid,177.0,,2
3587,Volvo XC40,Volvo XC40 - 2022,"XC40 Recharge R-Design, T5 plug-in hybrid 1.5 5dr",https://www.autotrader.co.uk/car-details/202304206473588,37500,Collect from Leeds (2 miles),2021,SUV,9855.0,1.5L,Automatic,Petrol Plug-in Hybrid,177.0,,2
47,Toyota Prius,Toyota Prius,1.8 VVT-h Active 5dr Petrol Hybrid CVT Euro 6,https://www.autotrader.co.uk/car-details/202305087131462,13990,leeds (2 miles),,Hatchback,60400.0,1.8L,Automatic,Petrol Hybrid,,,2
4099,Volvo XC40,Volvo XC40 - 2023,"XC40 Recharge Ultimate, T5 plug-in hybrid, Electric/Petrol, Dark 1.5 5dr",https://www.autotrader.co.uk/car-details/202304276723286,44950,Collect from Leeds (2 miles),2023,SUV,1194.0,1.5L,Automatic,Petrol Plug-in Hybrid,177.0,,2
3580,Volvo XC40,Volvo XC40 - 2022,"XC40 Recharge R-Design Pro, T5 plug-in hybrid 1.5 5dr",https://www.autotrader.co.uk/car-details/202304176371699,39950,Collect from Leeds (2 miles),2021,SUV,2997.0,1.5L,Automatic,Petrol Plug-in Hybrid,177.0,,2
3086,Volvo XC40,Volvo XC40,"Momentum (Lane depart alert,Park assist,Cruise,Nav) 2.0 5dr",https://www.autotrader.co.uk/car-details/202305137325190,24995,leeds (2 miles),2020,SUV,21816.0,2.0L,Manual,Diesel,148.0,,2
3561,Volvo XC40,Volvo XC40 - 2022,"XC40 Recharge R-Design, T4 plug-in hybrid 1.5 5dr",https://www.autotrader.co.uk/car-details/202304196435042,35999,Collect from Leeds (2 miles),2021,SUV,10705.0,1.5L,Automatic,Petrol Plug-in Hybrid,,,2
